cohorte,dimension,nivel,en_riesgo
2001,sector,23,2623
2001,sector,31-33,4205
2001,sector,42,2258
2001,sector,44-45,7561
2001,sector,48-49,1015
2001,sector,51,589
2001,sector,52,368
2001,sector,53,552
2001,sector,54,2842
2001,sector,55,17
2001,sector,56,1738
2001,sector,61,354
2001,sector,62,2777
2001,sector,71,728
2001,sector,72,5117
2001,sector,81,3982
2001,sector,unknown,63
2002,sector,11,535
2002,sector,21,86
2002,sector,22,33
2002,sector,23,3078
2002,sector,31-33,4382
2002,sector,42,2658
2002,sector,44-45,8846
2002,sector,48-49,1295
2002,sector,51,654
2002,sector,52,504
2002,sector,53,675
2002,sector,54,3722
2002,sector,55,12
2002,sector,56,2197
2002,sector,61,422
2002,sector,62,3608
2002,sector,71,908
2002,sector,72,6564
2002,sector,81,5005
2003,sector,11,452
2003,sector,21,84
2003,sector,22,44
2003,sector,23,3961
2003,sector,31-33,5557
2003,sector,42,3652
2003,sector,44-45,11174
2003,sector,48-49,1740
2003,sector,51,925
2003,sector,52,851
2003,sector,53,1081
2003,sector,54,5881
2003,sector,55,18
2003,sector,56,3310
2003,sector,61,663
2003,sector,62,4519
2003,sector,71,1151
2003,sector,72,7469
2003,sector,81,6585
2003,sector,92,2
2004,sector,11,488
2004,sector,21,111
2004,sector,22,79
2004,sector,23,5667
2004,sector,31-33,6148
2004,sector,42,4648
2004,sector,44-45,13872
2004,sector,48-49,2246
2004,sector,51,1283
2004,sector,52,1130
2004,sector,53,1397
2004,sector,54,6726
2004,sector,55,9
2004,sector,56,4008
2004,sector,61,744
2004,sector,62,5139
2004,sector,71,1502
2004,sector,72,8631
2004,sector,81,7448
2004,sector,92,7
2005,sector,11,481
2005,sector,21,139
2005,sector,22,67
2005,sector,23,8173
2005,sector,31-33,6879
2005,sector,42,5078
2005,sector,44-45,16076
2005,sector,48-49,3011
2005,sector,51,1655
2005,sector,52,1368
2005,sector,53,1713
2005,sector,54,8125
2005,sector,55,19
2005,sector,56,4806
2005,sector,61,1009
2005,sector,62,5747
2005,sector,71,1752
2005,sector,72,9580
2005,sector,81,8742
2005,sector,92,16
2006,sector,11,462
2006,sector,21,147
2006,sector,22,62
2006,sector,23,9649
2006,sector,31-33,6409
2006,sector,42,5026
2006,sector,44-45,15653
2006,sector,48-49,3752
2006,sector,51,1524
2006,sector,52,1491
2006,sector,53,2132
2006,sector,54,8632
2006,sector,55,23
2006,sector,56,4813
2006,sector,61,999
2006,sector,62,5482
2006,sector,71,1764
2006,sector,72,9720
2006,sector,81,8805
2006,sector,92,25
2007,sector,11,383
2007,sector,21,171
2007,sector,22,68
2007,sector,23,9666
2007,sector,31-33,6298
2007,sector,42,4858
2007,sector,44-45,15594
2007,sector,48-49,4071
2007,sector,51,1554
2007,sector,52,1727
2007,sector,53,2694
2007,sector,54,9143
2007,sector,55,19
2007,sector,56,4878
2007,sector,61,1118
2007,sector,62,5513
2007,sector,71,1838
2007,sector,72,9836
2007,sector,81,8819
2007,sector,92,22
2008,sector,11,334
2008,sector,21,138
2008,sector,22,52
2008,sector,23,6187
2008,sector,31-33,4513
2008,sector,42,3120
2008,sector,44-45,10410
2008,sector,48-49,2459
